Country,Year,Month,Date,Population_Millions,GDP_Billion_USD,GDP_Per_Capita_USD,CO2_Emissions_Million_Tons,Carbon_Footprint_Per_Capita_Tons,Air_Quality_Index_Avg,Waste_Recycling_Rate_Percentage,Deforestation_Rate_Hectares_Per_Year,Total_Energy_Consumption_TWh,Renewable_Energy_Share_Percentage,Solar_Generation_TWh,Wind_Generation_TWh,Hydro_Generation_TWh,Other_Renewable_Generation_TWh,Fossil_Fuel_Generation_TWh,Installed_Renewable_Capacity_GW,EV_Sales_Percentage_of_New_Cars,Green_Policy_Strength_Index,Policy_Count_Last_5_Yrs,Investment_in_Renewables_Billion_USD,Renewable_Energy_Subsidies_Billion_USD,Green_Jobs_Created,Average_Electricity_Price_USD_per_kWh,Green_Marketing_Spend_Per_Capita_USD,Public_Green_Awareness_Score,Sustainability_Score
India,2010,1,2010-01-01,1200.0,1496.915,1247.9,1999.908,1.83,106.04,30.75,9561.955,816.773,10.49,4.749,7.334,1.541,0.811,60.99,61.904,0.58,2.97,6,0.753,0.212,8236,0.16,0.01,6.59,25.2
India,2010,2,2010-02-01,1200.0,1507.592,1255.93,2000.418,1.83,103.63,29.52,9889.917,754.171,10.48,5.148,7.918,1.53,0.69,56.339,57.822,0.16,3.02,4,0.92,-0.001,8597,0.16,0.02,6.72,24.66
India,2010,3,2010-03-01,1199.0,1499.269,1250.14,1999.762,1.83,101.38,30.56,10553.13,666.685,8.78,4.05,5.789,1.067,0.611,50.553,61.747,0.59,3.15,5,0.674,-0.01,8564,0.16,-0.0,6.79,25.6
India,2010,4,2010-04-01,1200.0,1491.105,1242.43,2000.464,1.83,104.23,28.73,9709.08,672.229,10.62,5.834,5.907,1.204,0.374,50.158,71.425,-0.35,3.19,3,0.72,0.302,8346,0.16,-0.0,6.79,25.03
India,2010,5,2010-05-01,1200.0,1504.213,1253.78,2000.996,1.83,105.65,29.54,9745.859,748.714,7.14,4.616,5.565,1.073,0.418,57.047,40.316,0.65,3.1,5,0.941,0.235,8316,0.16,0.02,6.59,23.18
India,2010,6,2010-06-01,1200.0,1489.543,1241.01,1999.51,1.83,103.08,27.24,10501.704,814.808,9.8,8.563,5.937,1.165,0.839,61.385,35.445,-0.08,2.84,6,1.092,0.174,8461,0.17,0.02,6.55,25.7
India,2010,7,2010-07-01,1201.0,1491.342,1241.84,2000.132,1.83,106.47,29.44,9140.058,890.849,10.38,9.222,5.758,1.736,0.758,66.266,41.212,-0.09,3.05,5,0.619,0.145,8570,0.17,-0.01,6.36,27.54
India,2010,8,2010-08-01,1201.0,1485.502,1237.26,1999.997,1.83,104.99,27.02,10172.117,885.273,10.39,8.748,6.662,1.163,0.829,66.799,41.992,-0.4,3.2,2,0.997,0.055,8510,0.17,-0.01,6.7,26.66
India,2010,9,2010-09-01,1199.0,1502.415,1253.05,1999.629,1.83,108.04,29.11,9636.388,840.252,9.55,6.293,6.111,1.636,0.7,63.032,52.6,-0.62,3.06,5,1.023,0.268,8052,0.16,0.0,6.67,26.27
India,2010,10,2010-10-01,1201.0,1505.317,1253.36,1999.577,1.83,103.4,29.54,10096.612,760.791,10.88,6.635,6.273,1.489,0.725,56.839,63.988,0.5,3.17,4,0.718,0.233,8367,0.16,0.02,6.98,26.06
